ID,Severidad,Rol,Nivel,URL,Pasos,Esperado,Real,Evidencia,Recomendacion
E2E-009,P1,,,https://onlineu.mx/educore/parent/primary/grades/,ruta protegida parent primaria sin sesion,Texto visible compatible con /login|iniciar|Educore|No autorizado|Unauthorized|Calificaciones/i,HTTP 404; body length 129,,
E2E-010,P1,,,https://onlineu.mx/educore/student/kinder/activities/,kinder ruta protegida sin sesion,Texto visible compatible con /login|iniciar|Educore|No autorizado|Unauthorized|Actividades/i,HTTP 404; body length 129,,
E2E-011,P1,,,https://onlineu.mx/educore/student/preschool/activities/,preescolar ruta protegida sin sesion,Texto visible compatible con /login|iniciar|Educore|No autorizado|Unauthorized|Actividades/i,HTTP 404; body length 129,,
E2E-012,P1,,,https://onlineu.mx/educore/student/primary/subjects/,primaria /student/primary/subjects/ sin sesion,Texto visible compatible con /login|iniciar|Educore|No autorizado|Unauthorized|Dashboard|Perfil|Calificaciones/i,HTTP 404; body length 129,,
E2E-013,P1,,,https://onlineu.mx/educore/student/primary/assignments/,primaria /student/primary/assignments/ sin sesion,Texto visible compatible con /login|iniciar|Educore|No autorizado|Unauthorized|Dashboard|Perfil|Calificaciones/i,HTTP 404; body length 129,,
E2E-014,P1,,,https://onlineu.mx/educore/student/primary/exams/,primaria /student/primary/exams/ sin sesion,Texto visible compatible con /login|iniciar|Educore|No autorizado|Unauthorized|Dashboard|Perfil|Calificaciones/i,HTTP 404; body length 129,,
E2E-015,P1,,,https://onlineu.mx/educore/student/primary/grades/,primaria /student/primary/grades/ sin sesion,Texto visible compatible con /login|iniciar|Educore|No autorizado|Unauthorized|Dashboard|Perfil|Calificaciones/i,HTTP 404; body length 129,,
E2E-001,P3,,,https://onlineu.mx/educore/,cargar landing principal,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.,,
E2E-002,P3,,,https://onlineu.mx/educore/super-admin/users/,ruta protegida sin sesion,Sin errores graves de consola o red durante la carga.,Failed to load resource: the server responded with a status of 401 () | 401 https://educore-production-beef.up.railway.app/api/v1/auth/login | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-003,P3,,,https://onlineu.mx/educore/,landing desktop-1280,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.,,
E2E-004,P3,,,https://onlineu.mx/educore/login/,login desktop-1280,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-005,P3,,,https://onlineu.mx/educore/,landing tablet-768,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-006,P3,,,https://onlineu.mx/educore/login/,login tablet-768,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-007,P3,,,https://onlineu.mx/educore/,landing mobile-375,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-008,P3,,,https://onlineu.mx/educore/login/,login mobile-375,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-016,P3,,,https://onlineu.mx/educore/student/attendance/,primaria /student/attendance/ sin sesion,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-017,P3,,,https://onlineu.mx/educore/student/schedule/,primaria /student/schedule/ sin sesion,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-018,P3,,,https://onlineu.mx/educore/student/messages/,primaria /student/messages/ sin sesion,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-019,P3,,,https://onlineu.mx/educore/student/notifications/,primaria /student/notifications/ sin sesion,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-020,P3,,,https://onlineu.mx/educore/student/profile/,primaria /student/profile/ sin sesion,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-021,P3,,,https://onlineu.mx/educore/parent/consents/,Parent permisos sin sesion,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-022,P3,,,https://onlineu.mx/educore/,landing mobile 375x667,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.,,
E2E-023,P3,,,https://onlineu.mx/educore/login/,login mobile 375x667,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-024,P3,,,https://onlineu.mx/educore/,landing tablet 768x1024,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-025,P3,,,https://onlineu.mx/educore/login/,login tablet 768x1024,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-026,P3,,,https://onlineu.mx/educore/,landing desktop 1366x768,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-027,P3,,,https://onlineu.mx/educore/login/,login desktop 1366x768,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-028,P3,,,https://onlineu.mx/educore/,landing desktop 1920x1080,Sin errores graves de consola o red durante la carga.,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
E2E-029,P3,,,https://onlineu.mx/educore/login/,login desktop 1920x1080,Sin errores graves de consola o red durante la carga.,https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED,,
