Rol,Nivel,Modulo,Submodulo,Ruta,Estado,Evidencia,Comentario
unknown,,Public Landing,cargar landing principal,https://onlineu.mx/educore/,PARTIAL,,Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #425; visit https://react.dev/errors/425 for the full message or use the non-minified dev environment for full errors and additional helpful warnings. | Minified React error #418; visit https://react.dev/errors/418 for the full message or use the non-minified dev environment for full errors and additional helpful warnings.
unknown,,Public Landing,copy principal visible,https://onlineu.mx/educore/,PASS_REAL,,"EduCore
Soluciones
Beneficios
Testimonios
Blog
Contacto
Normal
Iniciar sesión
Solicitar demo
PLATAFORMA DE GESTIÓN ESCOLAR INTEGRAL
Administra tu institución con inteligencia

EduCore centraliza la gestión académica, administrativa y financ"
unknown,,Public Landing,link interno /educore/,https://onlineu.mx/educore/,PASS_REAL,,HTTP 200
unknown,,Public Landing,link interno /educore/login/,https://onlineu.mx/educore/login/,PASS_REAL,,HTTP 200
unknown,,Public Landing,selector de tema,https://onlineu.mx/educore/,PASS_REAL,,Control de tema accionado.
unknown,,Public Landing,CTA solicitar demo,https://onlineu.mx/educore/,PASS_REAL,,CTA accionado sin excepcion Playwright.
unknown,,Public Landing,responsive movil 375px,https://onlineu.mx/educore/,PASS_REAL,,Sin overflow horizontal relevante.
unknown,,Auth,abrir pagina login,https://onlineu.mx/educore/login/,PASS_REAL,,HTTP 200; 236 caracteres visibles.
unknown,,Auth,login vacio,https://onlineu.mx/educore/login/,PASS_REAL,,URL despues de submit vacio: https://onlineu.mx/educore/login/
unknown,,Auth,login invalido,https://onlineu.mx/educore/login/,PASS_REAL,,URL despues de credenciales invalidas: https://onlineu.mx/educore/login/
unknown,,Auth,forgot password,https://onlineu.mx/educore/login/,SKIPPED_NO_CREDENTIALS,,No se encontro link de recuperacion en login.
unknown,,Auth,ruta protegida sin sesion,https://onlineu.mx/educore/super-admin/users/,PARTIAL,,Failed to load resource: the server responded with a status of 401 () | 401 https://educore-production-beef.up.railway.app/api/v1/auth/login | https://onlineu.mx/cdn-cgi/rum?: net::ERR_ABORTED
unknown,,Auth,bloqueo ruta protegida sin sesion,https://onlineu.mx/educore/login/,PASS_REAL,,"Educore

Plataforma de administracion escolar

Iniciar sesion

Bienvenido de vuelta

Correo electronico
Contrasena
Iniciar sesion

Olvidaste tu contrasena?

Eres nuevo? Contacta a tu institucion para activar tu cuenta.

Volver al inicio"
unknown,,Auth,login super admin,https://onlineu.mx/educore/login/,SKIPPED_NO_CREDENTIALS,,Faltan E2E_SUPERADMIN_EMAIL y/o E2E_SUPERADMIN_PASSWORD.
unknown,,Auth,login super admin via API,https://educore-production-beef.up.railway.app/api/v1/auth/login,SKIPPED_NO_CREDENTIALS,,Faltan E2E_SUPERADMIN_EMAIL y/o E2E_SUPERADMIN_PASSWORD.
unknown,,Super Admin,navegar dashboard,/super-admin/dashboard/,SKIPPED_NO_CREDENTIALS,,Faltan credenciales Super Admin E2E.
unknown,,Super Admin,navegar modulos,/super-admin/modules/,SKIPPED_NO_CREDENTIALS,,Faltan credenciales Super Admin E2E.
unknown,,Super Admin,navegar billing,/super-admin/billing/,SKIPPED_NO_CREDENTIALS,,Faltan credenciales Super Admin E2E.
unknown,,Super Admin,navegar analytics,/super-admin/analytics/,SKIPPED_NO_CREDENTIALS,,Faltan credenciales Super Admin E2E.
unknown,,Super Admin,navegar health monitor,/super-admin/health/,SKIPPED_NO_CREDENTIALS,,Faltan credenciales Super Admin E2E.
